id,Star_name,Distance,Mass,Radius,,Brown dwarf,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Mass (MJ),Radius (RJ),Discovery year
0,Sun,0.000015813,1,1,1,0,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48.0,0.99,2004.0
1,Sirius,0008.6,2.1,1.71,25.4,1,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192.0,L1γ,19.0,1.63,
2,Canopus,0310,15,71,"13,500",2,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002.0
3,Alpha Centauri,0004.4,1.1,1.2,2,3,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,,37.7,M9.5,79.0,1.09,
4,Arcturus,0037,1.1,26,170,4,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,,143.0,L4,,,
5,Vega,0025,2.2,2.7,50,5,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,,236.0,M9.5β,31.0,1.44,
6,Capella,0043,2.6,12,150,6,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,,46.9,M8,,,
7,Rigel,0860,23,78.9,"120,000",7,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,,87.2,L7,54.0,0.98,
8,Procyon,0011.4,1.5,1.9,7.7,8,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,,131.0,L1-L4β,29.0,1.43,
9,Betelgeuse,0640[1],20,950,"60,000",9,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,,31.0,T6.5,42.0,0.94,
10,Achernar,0144,6.7,9.3,"3,000",10,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,42.0,0.94,2000.0
11,Hadar,0390,10.5,8.6,"42,000",11,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,,57.0,L2β,23.0,1.62,
12,Altair,0017,1.8,1.8,10.5,12,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,,40.0,L7.5p,12.0,1.3,
13,Acrux,0320,18,8.9,"25,000",13,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,,34.0,T7,40.0,0.94,
14,Aldebaran,0065,1.5,44,520,14,2MASS J00034227-2822410,Sculptor,0h 55m 39.72s,−28° 22′ 42″,,,M7.5,,,
15,Antares,0600,12,680,"75,000",15,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,,96.0,L0β,29.0,1.43,
16,Spica,0260,11.43,7.47,"20,512",16,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,18.08,30.0,T8.5,23.0,,2013.0
17,Pollux,0034,1.9,8.8,43,17,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,,70.0,L6β,52.0,0.98,
18,Fomalhaut,0025,1.9,1.8,16.6,18,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,,51.0,L8,52.0,0.98,
19,Deneb,"2,600",19,203,"200,000",19,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,,163.0,L2:,20.0,1.62,
20,Mimosa,0350,16,8.4,"34,000",20,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,,130.0,L0γ,20.0,1.61,
21,Regulus,0077,3.8,3.1,290,21,SDSS J015141.69+124429.6,,1h 51m 41.55s,12° 44′ 30″,,70.0,T1,47.0,0.97,
22,Adhara,0430,12.5,14,"39,000",22,DENIS-P J020529.0−115925A,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,L5.5,,,1997.0
23,Shaula,0700,14.5,8.8,"36,000",23,DENIS-P J020529.0−115925B,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,L8,,,1997.0
24,Castor,0052,2.8,2.4,30,24,DENIS-P J020529.0−115925C,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,T0,,,1997.0
25,Gacrux,0088,1.5,84,820,25,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,,111.0,T4.5,47.0,0.97,
26,Bellatrix,0240,8.6,5.8,"9,200",26,2MASS J02103857-3015313,,2h 10m 38.57s,−30° 15′ 31.3″,,101.0,L0γ,15.0,1.53,
27,Elnath,0130,5.0,4.2,700,27,2MASS J02340093-6442068,,2h 34m 0.93s,−64° 42′ 6.8″,,155.0,L0γ,20.0,1.62,
28,Miaplacidus,0110,3.5,6.8,290,28,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,,152.0,L0γ,27.0,1.41,
29,Alnilam,"2,000",32,42,"380,000",29,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,,35.0,T6,33.0,0.99,2002.0
30,Gamma Velorum,"01,100",9.0,6,"170,000",30,LP 771-21,,2h 48m 41s,−16° 51′ 21.6″,,53.0,M8,78.0,1.08,
31,Alnair,0101,4.0,3.4,260,31,2MASS J02511327+0047364,,2h 51m 13.27s,−0° 47′ 36.4″,,,M8,,,
32,Alioth,0081,2.9,4.2,110,32,2MASS J02535980+3206373,,2h 53m 59.8s,32° 6′ 37.3″,,184.0,M7β,65.0,1.9,
33,Alnitak,01050,33,20,"120,000",33,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,16.01,24.0,T8,65.0,1.9,
34,Dubhe,0120,4.25,30,300,34,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,22.92,16.2,L8,80.0,0.97,2006.0
35,Mirfak,0590,8.5,68,"5,000",35,2MASS J03185403-3421292 [de],Fornax,3h 18m 54.03s,−34° 21′ 29.2″,,45.0,L7,49.0,0.97,2008.0
36,Wezen,"1,600",17,200,"82,000",36,2MASS J03205965+1854233,,3h 20m 59.65s,18° 54′ 23.3″,,47.0,M8,88.0,1.15,
37,Sargas,0270,5.7,26,"1,800",37,2MASS J03231002-4631237,,3h 23m 10.02s,−46° 31′ 23.7″,,192.0,L0γ,23.0,1.66,
38,Kaus Australis,0140,3.5,6.8,360,38,SDSS J032553.17+042540.1,,3h 25m 53.22s,4° 25′ 40.6″,,59.0,T5.5,45.0,0.95,
39,Avior,0630,9.0,130,"60,000",39,2MASS J03264225-2102057 [de],Eridanus,3h 26m 42.25s,−21° 2′ 5.7″,,80.0,L5γ,18.0,1.3,2003.0
40,Alkaid,0104,6.1,3.4,"1,350",40,2MASS J03284265+2302051 [de],Taurus,3h 28m 42.65s,23° 2′ 5.1″,,98.0,L8,54.0,0.98,2000.0
41,Menkalinan,081,2.39,2.77,50,41,2MASS J03341218-4953322,,3h 34m 12.18s,−49° 53′ 32.2″,,27.0,M9,73.0,1.04,
42,Atria,0390,7,92,"5,500",42,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,10.725,20.9,M9β,73.0,1.43,
43,Alhena,0109,2.8,3.3,120,43,2MASP J0345432+254023,,3h 45m 43.16s,25° 40′ 23.3″,,88.0,L0,74.0,1.05,1997.0
44,Peacock,0180,5.9,4.8,"2,200",44,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,,380.0,M8,55.0,3.78,1995.0
45,Alsephina[2],0080,2.4,2.9,90,45,2MASS J03510004-0052452,,3h 51m 0.04s,−0° 52′ 45.2″,,48.0,M8,102.0,1.27,
46,Mirzam,0500,13.5,10,"27,000",46,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,14.05,29.8,L5γ,20.0,1.32,2006.0
47,Polaris,0430,5.4,39,"2,500",47,DENIS-P J035726.9-441730 [de],Horologium,3h 57m 26.95s,−44° 17′ 30.5″,14.37,130.0,L0β,,,
48,Alphard,0180,3.0,50,780,48,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,15.7,18.6,T8,30.0,0.95,2002.0
49,Mintaka,01200,24,16.5,"190,000",49,SDSSp J042348.57-041403.5 [de],Eridanus,4h 23m 48.58s,−4° 14′ 3.5″,14.5,50.0,L7.5,,,2002.0
50,Scheat,0196,2.1,95,"1,500",50,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,,85.0,L0.5,80.0,1.09,2003.0
51,Almaaz,0653,15,140,"43,000",51,2MASS J04351612-1606574,,4h 35m 16.13s,−16° 6′ 57.5″,,34.0,M7,100.0,1.26,
52,Rasalgethi,0360,2.8,280,"8,300",52,2MASS J04362788-4114465,,4h 36m 27.88s,−41° 14′ 46.5″,,142.0,M8βγ,39.0,1.97,
53,Tau Ceti,011.9,0.783,0.893,0.52,53,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,,29.5,L6.5,48.0,0.97,2003.0
54,Delta Pavonis,019.92,0.991,1.22,1.22,54,2MASS J04414489+2301513,,4h 41m 44.9s,23° 1′ 58.07″,,470.0,M8.5,19.0,,2010.0
55,Ran,010.48,0.82,0.74,0.34,55,2MASS J04433764+0002040,,4h 43m 37.61s,−0° 2′ 5.1″,,82.0,M9γ,22.0,1.78,
56,V382 Carinae,"08,900",20,485,"212,000",56,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,,42.0,L2,64.0,1.0,2003.0
57,Eta Carinae,"07,500",100,60 - 881,"5,000,000",57,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,,69.0,L0.5,72.0,1.04,2003.0
58,Delta Cephei,0887,4.5,44.5,"2,000",58,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,,44.0,L4,64.0,1.0,2008.0
59,Mu Cephei,"06,000",19.2,972,"135,000",59,2MASS J05012406-0010452 [de],Orion,5h 1m 24.06s,−0° 10′ 45.2″,,64.0,L4γ,21.0,1.38,2008.0
60,Titawin,044.25,1.27,1.48,3.57,60,2MASS J05160945-0445499 [de],Orion,5h 16m 9.45s,−4° 45′ 49.9″,,73.0,T5.5,47.0,0.97,2003.0
61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000",61,2MASS J0523−1403,Lepus,5h 23m 38.22s,−14° 3′ 2.2″,,40.0,L2.5,68.0,1.01,
62,P Cygni,"05,545",30,76,"610,000",62,2MASS 0532+8246,Camelopardalis,5h 32m 53.46s,82° 46′ 46.5″,,81.0,L7,83.0,,2018.0
63,La Superba,"01,000",,129 - 342,"2,472 - 5,800",63,SDSS J053951.99-005902.0,,5h 39m 52s,−0° 59′ 1.9″,21.05,41.62,L5,61.0,1.01,
64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000",64,2MASS J05591914-1404488 [de],Lepus,5h 59m 19.14s,−14° 4′ 48.8″,,34.0,T4.5,,,2000.0
65,61 Cygni,011.41,0.7,0.665,0.153,65,LSR 0602+3910 [de],Auriga,6h 2m 30.45s,39° 10′ 59.2″,20.88,34.6,L1β,28.0,1.41,2003.0
66,R Doradus,0178,0.7 - 1.0,298,"4,350",66,2MASS J06085283-2753583,,6h 8m 52.83s,−27° 53′ 58.3″,,102.0,M8.5γ,38.0,1.51,
67,Polaris Australis,0281,1.59,3.74,38,67,WISEP J061135.13-041024.0A,,6h 11m 35.12s,−4° 10′ 24″,,69.0,L9,65.0,,2014.0
68,R Coronae Borealis,"04,566",0.85,85,"10,000",68,WISEP J061135.13-041024.0B,,6h 11m 35.12s,−4° 10′ 24″,,69.0,T1.5,53.0,,2014.0
69,54 Piscium,036.1,0.76,0.94,0.52,69,2MASS J06244595-4521548 [de],Puppis,6h 24m 45.95s,−45° 21′ 54.8″,,39.0,L5,56.0,0.99,2008.0
70,Mira,0300,1.2,370,"9,000",70,2MASS J06411840-4322329 [de],Puppis,6h 41m 18.4s,−43° 22′ 32.9″,,65.0,L1.5,67.0,1.01,2008.0
71,RW Cephei,"014,000",13.9,"1,158","417,000",71,DENIS-P J0652197-253450 [de],Canis Major,6h 52m 19.77s,−25° 34′ 50.5″,,51.0,L0,75.0,1.05,2008.0
72,Lacaille 8760,012.87,0.6,0.51,0.072,72,2MASS J07003664+3157266 [de],Gemini,7h 0m 36.64s,31° 57′ 26.6″,,40.0,L3.5:,,,2003.0
73,HD 140283,0202,0.81,2.04,4.82,73,2MASS J07075327-4900503,,7h 7m 53.27s,−49° 0′ 50.3″,,60.0,M9,72.0,1.03,
74,II Pegasi,0130,0.8,3.4,1.06,74,UGPS J072227.51-054031.2,Monoceros,7h 22m 27.6s,−05° 40′ 38.4″,,13.4,T9,26.0,0.98,2010.0
75,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000",75,2MASSI J0727182+171001 [de],Gemini,7h 27m 18.24s,17° 10′ 1.2″,,29.6,T7,41.0,0.94,2002.0
76,Pistol Star,"025,000",100,320,"1,700,000",76,2MASS J07290002-3954043 [de],Puppis,7h 29m 0.02s,−39° 54′ 4.4″,,25.8,T8 pec,37.0,0.94,2007.0
77,S Doradus,"0169,000",24,380,"910,000",77,SDSS J074201.41+205520.5 [de],Gemini,7h 42m 1.3s,20° 55′ 19.8″,,49.0,T5,43.0,0.94,2004.0
78,UY Scuti,"05,100",7 - 10,755,"86,300 - 87,100",78,2MASS J0746425+200032 [fr],Gemini,7h 46m 42.56s,20° 0′ 32.1″,,49.6,L0.5,,,1999.0
79,Barnard's Star,05.98,0.14,0.20,0.0035,79,DENIS-P J0751164-253043 [de],Puppis,7h 51m 16.45s,−25° 30′ 43.2″,,55.0,L2.5,71.0,1.03,2008.0
80,HE 1523-0901,"010,000",0.80,27,730,80,2MASS J07522390+1612157,,7h 52m 23.9s,16° 12′ 15.7″,,60.0,M7βγ,68.0,2.01,
81,Proxima Centauri,04.25,0.12,0.15,0.0017,81,DENIS J081730.0-615520,Carina,8h 17m 30.01s,−61° 55′ 15.8″,13.6,16.1,T6,44.0,0.94,2010.0
82,KIC 8462852,"01,470",1.43,1.58,4.68,82,DENIS J082303.1−491201A,Vela,8h 23m 3.13s,−49° 12′ 1.3″,,67.0,L1.5,44.0,,2006.0
83,R136a1,"0163,000",290,32,"8,710,000",83,DENIS J082303.1−491201B,Vela,8h 23m 3.13s,−49° 12′ 1.3″,,67.0,L5.5,28.0,,2006.0
84,Melnick 42,"0163,000",189,21.1,"3,600,000",84,2MASS J08251968+2115521 [de],Cancer,8h 25m 19.68s,21° 15′ 52.1″,,35.0,L7.5,52.0,0.98,2000.0
85,WR 102,"018,134",19,0.39,"282,000",85,SDSSp J083008.12+482847.4 [de],Lynx,8h 30m 8.25s,48° 28′ 48.2″,,43.0,L8,48.0,0.99,2002.0
86,VFTS 352,"0164,000",57.48,14.47,"330,000",86,LHS 2021,,8h 30m 32.56s,9° 47′ 15.4″,,55.0,M6.5,88.0,1.15,
87,YBP 1194,"02,772",1.01,0.99,0.98,87,SDSS J083048.80+012831.1 [de],Hydra,8h 30m 48.78s,1° 28′ 31.1″,,77.0,T4.5,46.0,0.96,2004.0
88,Gliese 1214,047.5,0.16,0.21,0.0033,88,2MASSI J0835425-081923 [de],Hydra,8h 35m 42.56s,−8° 19′ 23.7″,,23.53,L5,62.0,1.0,2003.0
89,NML Cygni,"05,251",50,"1,640 - 2,770","229,000",89,2MASSI J0847287-153237 [de],Hydra,8h 47m 28.72s,−15° 32′ 37.2″,,43.0,L2,64.0,1.0,2003.0
90,VB 10,018.72,0.075,0.10,0.0004,90,2MASS J08533619-0329321,,8h 53m 36.19s,−3° 29′ 32.1″,,27.6,M9,77.0,1.07,
91,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000",91,2MASSI J0859254-194926 [de],Pyxis,8h 59m 25.47s,−19° 49′ 26.8″,,50.0,L6,50.0,0.98,2003.0
92,TRAPPIST-1,039.6,0.089,0.12,0.0005,92,2MASSW J0920122+351742 [de],Lynx,9h 20m 12.23s,35° 17′ 42.9″,,95.0,L6.5,,,2000.0
93,2MASS J0523-1403,040.3,0.07,0.086,0.00013,93,2MASSI J0937347+293142,Leo,9h 37m 34.87s,29° 31′ 40.9″,,20.0,T6p,42.0,0.94,2002.0
